cer	t͡ʃ e r
dușmăniserăm	d u ʃ m ə n i s e r ə m
controlând	k o n t r o l ɨ n d
perfectaseși	p e r f e k t a s e ʃʲ
șoptirăm	ʃ o p t i r ə m
palimpseste	p a l i m p s e s t e
boșului	b o ʃ u l u j
drept	d r e p t
vino	v i n o
nativa	n a t i v a
vorbiți	v o r b i t͡sʲ
limitează	l i m i t j a z ə
noastră	n o̯ a s t r ə
nud	n u d
călători	k ə l ə t o r i
băiețeilor	b ə j e t s e j l o r
primiții	p r i m i t͡s iː
pregătiților	p r e ɡ ə t i t͡s i l o r
făceați	f ə t͡ʃ e̯ a t͡sʲ
pregătiți	p r e ɡ ə t i t͡sʲ
delimitezi	d e l i m i t e zʲ
șantajistele	ʃ a n t a ʒ i s t e l e
amintesc	a m i n t e s k
excavară	e k s k a v a r ə
iubeați	j u bʲ æ t͡sʲ
piepturi	p j e p t u rʲ
masturbau	m a s t u r b a w
pornograficului	p o r n o ɡ r a f i k u l u j
protejai	p r o t e ʒ a j
primească	p r i m e̯ a s k ə
fulg	f u l ɡ
cântăreței	k ɨ n t ə r e t͡s e j
cuvintele	k u v i n t e l e
năluceai	n ə l u t ʃ j a j
numitul	n u m i t u l
clădești	k l ə d e ʃ tʲ
macedoneancă	m a t͡ʃ e d o n e̯ a n k ə
traduci	t r a d u t͡ʃʲ
evlaviei	e v l a v i e j
turcesc	t u r t͡ʃ e s k
șantajaților	ʃ a n t a ʒ a t͡s i l o r
pornograficul	p o r n o ɡ r a f i k u
scrot	s k r o t
dușmăniseși	d u ʃ m ə n i s e ʃʲ
poți	p o t sʲ
negru	n e ɡ r u
futuserăți	f u t u s e r ə t͡sʲ
anus	a n u s
suedezi	s u e d e zʲ
pilotau	p i l o t a a w
cetățeană	t͡ʃ e t ə t͡s e̯ a n ə
formaseși	f o r m a s e ʃʲ
numind	n u m i n d
spun	s p u n
cumnată	k u m n a t ə
eroticilor	e r o t i t͡ʃ i l o r
acceleraserăți	a k t͡ʃ e l e r a s e r ə t sʲ
accelerați	a k t͡ʃ e l e r a t͡sʲ
bărbătește	b ə r b ə t e ʃ t e
agest	a d͡ʒ e s t
mersi	m e ɾ s i
ierburi	j e r b u rʲ
întâlnitul	ɨ n t ɨ l n i t u l
controlă	k o n t r o l ə
dă	d ə
șantajaseră	ʃ a n t a ʒ a s e r ə
opreau	o p r j a w
veștejeam	v e ʃ t e ʒ e̯ a m
cenzurând	t͡ʃ e n z u r ɨ n d
lucian	l u t͡ʃ j a n
orientai	o r i e n t a j
asurzeați	a s u r z j a t sʲ
îmbrăca	ɨ m b r ə k a
cuțit	k u t͡s i t
bețiv	b e t͡s i v
norilor	n o r i l o r
mie	m i e
somași	s o m a ʃʲ
modalitate	m o d a l i t a t e
abandonaserăm	a b a n d o n a s e r ə m
apă	a p ə
suedeză	s u e d e z ə
fututa	f u t u t a
șantajată	ʃ a n t a ʒ a t ə
furtună	f u r t u n ə
creaseși	k r e a s e ʃʲ
pilotași	p i l o t a a ʃʲ
șantajau	ʃ a n t a ʒ a w
ușa	u ʃ a
călătoritei	k ə l ə t o r i t e j
personalitate	p e r s o n a l i t a t e
scrotala	s k r o t a l a
șantajatelor	ʃ a n t a ʒ a t e l o r
erou	e ɾ o w
scrum	s k r u m
șantajasem	ʃ a n t a ʒ a s e m
ger	d͡ʒ e r
citise	t ʃ i t i s e
întâlniseră	ɨ n t ɨ l n i s e r ə
pentru	p e n t r u
evlaviile	e v l a v iː l e
abandonaseși	a b a n d o n a s e ʃʲ
perfectară	p e r f e k t a r ə
mulțumească	m u l t s u m j a s k ə
înghețată	ɨ ŋ ɡ e t s a t ə
iluzoriul	i l u z o r j u l
prime	p r i m e
poloneză	p o l o n e z ə
deranjaserăm	d e r a n ʒ a s e r ə m
tentaserăm	t e n t a s e r ə m
popescu	p o p e s k u
suferință	s u f e r i n t s ə
mărturisesc	m ə r t u r i s e s k
spovediseși	s p o v e d i s e ʃʲ
modificata	m o d i f i k a t a
resurse	r e s u r s e
fumau	f u m a w
fuseră	f u s e r ə
sodomizarăm	s o d o m i z a r ə m
mărturiseam	m ə r t u r i s j a m
masturbatul	m a s t u r b a t u l
făcând	f ə k ɨ n d
ești	j e ʃ tʲ
croi	k r o i
abili	a b i lʲ
coardă	k o̯ a r d ə
cetățeni	t͡ʃ e t ə t͡s e nʲ
visa	v i s a
folosești	f o l o s e ʃ tʲ
testiculul	t e s t i k u l u
copilă	k o p i l ə
terminase	t e r m i n a s e
formasem	f o r m a s e m
norii	n o r i
formând	f o r m ɨ n d
folosiră	f o l o s i r ə
ataraxic	a t a r a k s i k
veștejisem	v e ʃ t e ʒ i s e m
someze	s o m e z e
eligibilitate	e l i d͡ʒ i b i l i t a t e
mărturisim	m ə r t u r i s i m
pregăteam	p r e ɡ ə t j a m
reale	r e a l e
serenade	s e r e n a d e
floci	f l o t͡ʃʲ
exemplu	e ɡ z e m p l u
sexuala	s e k s u a l a
țării	t͡s ə r i
vorbind	v o r b i n d
activitate	a k t i v i t a t e
ață	a t͡s ə
enigmatici	e n i ɡ m a t i t͡ʃʲ
anusuri	a n u s u rʲ
întristezi	ɨ n t r i s t e zʲ
penis	p e n i s
caracter	k a r a k t e r
întărisem	ɨ n t ə r i s e m
pule	p u l e
întăriseși	ɨ n t ə r i s e ʃʲ
gândiseră	ɡ ɨ n d i s e r ə
asurzii	a s u r z iː
turiști	t u r i ʃ tʲ
dușmăniților	d u ʃ m ə n i t͡s i l o r
urinară	u r i n a r ə
sug	s u ɡ
dezavantajos	d e z a v a n t a ʒ o s
bărbatul	b ə r b a t u l
fiți	f i t͡sʲ
pilotă	p i l o t a ə
somând	s o m ɨ n d
sfârșita	s f ɨ r ʃ i t a
gândiră	ɡ ɨ n d i r ə
torturați	t o r t u r a t͡sʲ
sodomizau	s o d o m i z a w
întristând	ɨ n t r i s t ɨ n d
finlandei	f i n l a n d e j
furăți	f u r ə t͡sʲ
masturbarăți	m a s t u r b a r ə t͡sʲ
pulosului	p u l o s u l u j
erotică	e r o t i k ə
sodomizați	s o d o m i z a t͡sʲ
boemia	b o e m i a
masturbând	m a s t u r b ɨ n d
este	e s t e
trandafir	t r a n d a f i r
plictisește	p l i k t i s e ʃ t e
dicționarului	d i k t͡s i o n a r u l u j
lingurile	l i ŋ ɡ u r i l e
șoptim	ʃ o p t i m
frasin	f r a s i n
prietenește	p r i e t e n e ʃ t e
eroi	e r o j
îndoi	ɨ n d o j
elogiu	e l o d͡ʒ i w
mâncarăm	m ɨ n k a r ə m
nicidecum	n i t ʃʲ d e k u m
spovedeau	s p o v e d j a w
îmbunătățită	ɨ m b u n ə t ə t͡s i t ə
pornesc	p o r n e s k
orgastic	o r ɡ a s t i k
porniseră	p o r n i s e r ə
sfârșiseși	s f ɨ r ʃ i s e ʃʲ
opritele	o p r i t e l e
seduse	s e d u s e
mirandeză	m i r a n d e z ə
gravitație	ɡ r a v i t a t͡s i e
întărești	ɨ n t ə r e ʃ tʲ
părintesc	p ə r i n t e s k
îmbunătățeai	ɨ m b u n ə t ə t s j a j
eventualitate	e v e n t u a l i t a t e
prosti	p r o s t i
tentezi	t e n t e zʲ
părinte	p ə r i n t e
terminaserăm	t e r m i n a s e r ə m
găsiții	ɡ ə s i t͡s iː
futeai	f u t e̯ a j
caraghios	k a r a ɡ j o s
somnambul	s o m n a m b u l
vreau	v r e̯ a w
sărămură	s ə r ə m u r ə
grăbite	ɡ r ə b i t e
porniseși	p o r n i s e ʃʲ
pregătiseși	p r e ɡ ə t i s e ʃʲ
găseați	ɡ ə s j a t sʲ
numise	n u m i s e
găsita	ɡ ə s i t a
torturaserăm	t o r t u r a s e r ə m
prepuțuri	p r e p u t͡s u rʲ
finlandeză	f i n l a n d e z ə
dorințe	d o r i n t͡s e
sinistra	s i n i s t r a
deranjași	d e r a n ʒ a ʃʲ
diurn	d i u r n
exclusivitate	e k s k l u s i v i t a t e
veștejeau	v e ʃ t e ʒ e̯ a u
torturarăți	t o r t u r a r ə t sʲ
delimitez	d e l i m i t e z
delirau	d e l i r a w
lumini	l u m i nʲ
scrotalul	s k r o t a l u
capăt	k a p ə t
foloseați	f o l o s j a t sʲ
picoliță	p i k o l i t s ə
ciudat	t͡ʃ u d a t
anonimi	a n o n i mʲ
delirând	d e l i r ɨ n d
canadian	k a n a d i a n
tentarăm	t e n t a r ə m
lacrima	l a k r i m a
băiețașul	b ə j e t͡s a ʃ u l
măști	m ə ʃ tʲ
algerian	a l d͡ʒ e r i a n
grăbit	ɡ r ə b i t
iubit	j u b i t
fanteziilor	f a n t e z iː l o r
cânt	k ɨ n t
crease	k r e a s e
cenzurat	t͡ʃ e n z u r a t
antagonic	a n t a ɡ o n i k
homofob	h o m o f o b
anusul	a n u s u l
necăjirăm	n e k ə ʒ i r ə m
tiran	t i r a n
acronim	a k r o n i m
formezi	f o r m e zʲ
gândirăm	ɡ ɨ n d i r ə m
donație	d o n a t͡s i e
babă	b a b ə
scrotală	s k r o t a l ə
polonez	p o l o n e z
drag	d r a ɡ
juisa	ʒ u i s a
gravitezi	ɡ r a v i t e zʲ
castron	k a s t ɾ o n
sfârșirăți	s f ɨ r ʃ i r ə t sʲ
neerlandeză	n e e r l a n d e z ə
fetele	f e t e l e
grăbitele	ɡ r ə b i t e l e
săptămâni	s ə p t ə m ɨ nʲ
protejeze	p r o t e ʒ e z e
exemplul	e ɡ z e m p l u l
slovenele	s l o v e n e l e
fildeș	f i l d e ʃ
umane	u m a n e
turist	t u r i s t
perfectezi	p e r f e k t e zʲ
șacal	ʃ a k a l
delimitați	d e l i m i t a t͡sʲ
ușor	u ʃ o r
erogen	e r o d͡ʒ e n
glonte	ɡ l o n t e
omenesc	o m e n e s k
analizează	a n a l i z j a z ə
dănuț	d ə n u t͡s
șopteai	ʃ o p t j a j
kidnapping	k i d n a p i ŋ
promitem	p r o m i t e m
tortureze	t o r t u r e z e
mioveni	m i o v ɛ nʲ
frumusețe	f r u m u s e t s e
mărturisitul	m ə r t u r i s i t u l
fantezie	f a n t e z i e
eroticul	e r o t i k u l
căprior	k ə p r i o r
simplitate	s i m p l i t a t e
stradă	s t r a d ə
calitate	c a l i t a t e
copleșitori	k o p l e ʃ i t o rʲ
primul	p r i m u l
neomenește	n e o m e n e ʃ t e
masturbam	m a s t u r b a m
moarte	m o̯ a r t e
mărturisi	m ə r t u r i s i
primitelor	p r i m i t e l o r
locuace	l o k w a t͡ʃ e
ubicuilor	u b i k u i l o r
tentai	t e n t a j
șoptite	ʃ o p t i t e
cântărețului	k ɨ n t ə r e t͡s u l u j
dușmănim	d u ʃ m ə n i m
controlez	k o n t r o l e z
ligament	l i ɡ a m e n t
diaconescu	d i a k o n e s k u
prietenelor	p r i e t e n e l o r
intui	i n t u i
prietenă	p r i e t e n ə
ști	ʃ t i
sexualilor	s e k s u a l i l o r
folositor	f o l o s i t o r
delirarăm	d e l i r a r ə m
testicule	t e s t i k u l e
urinaseși	u r i n a s e ʃʲ
avansat	a v a n s a t
deranjaserăți	d e r a n ʒ a s e r ə t sʲ
ghiuj	ɡ j u ʒ
bogat	b o ɡ a t
elemozină	e l e m o z i n ə
stomac	s t o m a c
acceleraseși	a k t͡ʃ e l e r a s e ʃʲ
cenzura	t͡ʃ e n z u r a
jos	ʒ o s
clădise	k l ə d i s e
felațiile	f e l a t s iː l e
abandonau	a b a n d o n a w
distrează	d i s t r j a z ə
orientarăți	o r i e n t a r ə t sʲ
sângeraseși	s ɨ n d͡ʒ e r a s e ʃʲ
gânditul	ɡ ɨ n d i t u l
delicioasă	d e l i t͡ʃ j o̯ a s ə
pitoresc	p i t o r e s k
somaseși	s o m a s e ʃʲ
vieți	v j e t sʲ
asupra	a s u p r a
urâm	u r ɨ m
șantajurile	ʃ a n t a ʒ u r i l e
grăbisem	ɡ r ə b i s e m
protejați	p r o t e ʒ a t͡sʲ
mulțumiși	m u l t s u m i ʃʲ
vorbiserăm	v o r b i s e r ə m
lăbar	l ə b a r
delirurile	d e l i r u r i l e
susur	s u s u r
sedus	s e d u s
pilotaserăm	p i l o t a a s e r ə m
protejează	p r o t e ʒ e̯ a z ə
călătoreai	k ə l ə t o r j a j
gândea	ɡ ɨ n d j a
juisați	ʒ u i s a t͡sʲ
iluzorie	i l u z o r i e
folositelor	f o l o s i t e l o r
mărturisească	m ə r t u r i s j a s k ə
elizeele	e l i z eː l e
elizeelor	e l i z eː l o r
fiind	f iː n d
pui	p u j
opriși	o p r i ʃʲ
tură	t u r ə
plictiseală	p l i k t i s e a l ə
protejă	p r o t e ʒ ə
futuși	f u t u ʃʲ
feminin	f e m i n i n
normalitate	n o r m a l i t a t e
necăjitul	n e k ə ʒ i t u l
banița	b a nʲ t͡s a
opriții	o p r i t͡s iː
vizibilitate	v i z i b i l i t a t e
iubiră	j u b i r ə
româneștile	r o m ɨ n e ʃ t i l e
pregătitei	p r e ɡ ə t i t e j
îmbunătățitele	ɨ m b u n ə t ə t͡s i t e l e
drăgulescu	d r ə ɡ u l e s k u
abandonaserăți	a b a n d o n a s e r ə t sʲ
trabuc	t r a b u k
delirară	d e l i r a r ə
prietenilor	p r i e t e n i l o r
decât	d e k ɨ t
cântată	k ɨ n t a t ə
pornografice	p o r n o ɡ r a f i t͡ʃ e
pula	p u l a
funcție	f u n k t͡s i e
veninos	v e n i n o s
bucă	b u k ə
găsiserăm	ɡ ə s i s e r ə m
vorbești	v o r b e ʃ tʲ
apocaliptic	a p o k a l i p t i k
fi	f i
bărbătesc	b ə r b ə t e s k
italiană	i t a l i a n ə
formau	f o r m a w
găsii	ɡ ə s iː
primeam	p r i m j a m
exemplul	e ɡ z e m p l u
pulei	p u l e j
oprise	o p r i s e
mâncase	m ɨ n k a s e
elimini	e l i m i nʲ
futură	f u t u r ə
securitate	s e k u r i t a t e
funcționau	f u n k t͡s i o n a w
narcotic	n a ɾ k o t i k
călătoreau	k ə l ə t o r j a w
spovediților	s p o v e d i t͡s i l o r
ejaculaseră	e ʒ a k u l a s e r ə
răpiși	r ə p i ʃʲ
omniprezentele	o m n i p r e z e n t e l e
misterioase	m i s t e r i o̯ a s e
frecase	f r e k a s e
homofobie	h o m o f o b i e
analizezi	a n a l i z e zʲ
sunetele	s u n e t e l e
gravitez	ɡ r a v i t e z
acela	a t͡ʃ e l a
năluciților	n ə l u t͡ʃ i t͡s i l o r
citită	t͡ʃ i t i t ə
tai	t a j
iubiserăm	j u b i s e r ə m
iubind	j u b i n d
citiserăți	t ʃ i t i s e r ə t sʲ
cunoscu	k u n o s k u
pilotarăți	p i l o t a a r ə t sʲ
frumoasele	f r u m o̯ a s e l e
fără	f ə r ə
carte	k a r t e
clădiși	k l ə d i ʃʲ
excaveze	e k s k a v e z e
portocală	p o r t o k a l ə
iar	j a r
moldovenesc	m o l d o v e n e s k
pecunie	p e k u n i e
toi	t o j
hemoroid	h e m o r o j d
sigur	s i ɡ u r
asurzind	a s u r z i n d
urinase	u r i n a s e
exist	e ɡ z i s t
somează	s o m j a z ə
șantajaseși	ʃ a n t a ʒ a s e ʃʲ
întărirăm	ɨ n t ə r i r ə m
minge	m i n d ʒ e
vedeți	v e d e t͡sʲ
venise	v e n i s e
ejacularăți	e ʒ a k u l a r ə t sʲ
găsite	ɡ ə s i t e
animalitate	a n i m a l i t a t e
limbile	l i m b i l e
ultimul	u l t i m u l
puneți	p u n e t͡sʲ
complex	k o m p l e k s
homosexuala	h o m o s e k s u a l a
plictisiși	p l i k t i s i ʃʲ
război	r ə z b o j
primitei	p r i m i t e j
spovedisem	s p o v e d i s e m
distrezi	d i s t r e zʲ
dușmănind	d u ʃ m ə n i n d
iarbă	j a r b ə
primind	p r i m i n d
distrăm	d i s t r ə m
numerelor	n u m e r e l o r
șopti	ʃ o p t i
macabrul	m a k a b r u
gândiților	ɡ ɨ n d i t͡s i l o r
delirul	d e l i r u
delimitaserăți	d e l i m i t a s e r ə t sʲ
genetic	d͡ʒ e n e t i k
chei	k e j
sodomizez	s o d o m i z e z
ați	a t͡sʲ
zahărul	z a h ə r u
îmbunătățiră	ɨ m b u n ə t ə t s i r ə
călătorit	k ə l ə t o r i t
scule	s k u l e
asurziși	a s u r z i ʃʲ
sodomiza	s o d o m i z a
controlară	k o n t r o l a r ə
zăpușeați	z ə p u ʃ j a t sʲ
giacă	d ʒ j a k ə
molie	m o l i e
circumcis	t ʃ i r k u m t ʃ i s
somase	s o m a s e
șoptitul	ʃ o p t i t u l
frumos	f r u m o s
torturez	t o r t u r e z
întărita	ɨ n t ə r i t a
halucinație	h a l u t͡ʃ i n a t͡s i e
mulțumitei	m u l t͡s u m i t e j
omniprezentul	o m n i p r e z e n t u l
oprească	o p r j a s k ə
nălucesc	n ə l u t ʃ e s k
înțelegem	ɨ n t͡s e l e d͡ʒ e m
sturz	s t u r z
delirase	d e l i r a j
analizat	a n a l i z a t
simți	s i m t s i
termine	t e r m i n e
produce	p r o d u t ʃ e
urinam	u r i n a m
copleșitor	k o p l e ʃ i t o r
folosirăți	f o l o s i r ə t sʲ
vioară	v i o̯ a ɾ ə
controlași	k o n t r o l a ʃʲ
mărturisirăți	m ə r t u r i s i r ə t sʲ
soliditate	s o l i d i t a t e
vorbirăți	v o r b i r ə t͡sʲ
șoptitul	ʃ o p t i t u
oprite	o p r i t e
urinați	u r i n a t͡sʲ
deliraseră	d e l i r a s e r ə
vorbiseși	v o r b i s e ʃʲ
folositul	f o l o s i t u l
dezavantaja	d e z a v a n t a ʒ a
vorbiseră	v o r b i s e r ə
lucreze	l u k r e z e
discuție	d i s k u t s i ɛ
funcționaserăți	f u n k t͡s i o n a s e r ə t sʲ
masturbaserăm	m a s t u r b a s e r ə m
mâncasem	m ɨ n k a s e m
centrală	t͡ʃ e n t ɾ a l ə
omniprezențelor	o m n i p r e z e n t s e l o r
palme	p a l m e
opriseși	o p r i s e ʃʲ
felații	f e l a t s iː
an	a n
plictiseau	p l i k t i s j a w
bărbații	b ə r b a t͡s iː
prietenei	p r i e t e n e j
frumosului	f r u m o s u l u j
zeu	z e w
delirat	d e l i r a t
futusem	f u t u s e m
plictisise	p l i k t i s i s e
proiect	p r o j ɛ k t
supse	s u p s e
drumuri	d r u m u rʲ
pupa	p u p a
grăbească	ɡ r ə b j a s k ə
alege	a l e d͡ʒ e
fumează	f u m j a z ə
regilor	r e d͡ʒ i l o r
tentând	t e n t ɨ n d
traduceri	t r a d u t ʃ e rʲ
juisează	ʒ u i s e̯ a z ə
religie	r e l i d ʒ i e
dătător	d ə t ə t o r
spovedii	s p o v e d iː
făcuseși	f ə k u s e ʃʲ
controlezi	k o n t r o l e zʲ
agentă	a d͡ʒ e n t ə
lacrimă	l a k r i m ə
aici	a i t͡ʃʲ
fumași	f u m a ʃʲ
cenzurară	t͡ʃ e n z u r a r ə
limitați	l i m i t a t͡sʲ
apocaliptice	a p o k a l i p t i t͡ʃ e
grăbi	ɡ r ə b i
odată	o d a t ə
iubeam	j u bʲ æ m
insecuritate	i n s e k u r i t a t e
halucinogen	h a l u t͡ʃ i n o d͡ʒ e n
cititul	t͡ʃ i t i t u l
grăbim	ɡ r ə b i m
întăriră	ɨ n t ə r i r ə
întăriților	ɨ n t ə r i t͡s i l o r
îmbunătățiserăm	ɨ m b u n ə t ə t s i s e r ə m
proteja	p r o t e ʒ a
văile	v ə j l e
șantaj	ʃ a n t a ʒ
feței	f e t s e j
laptelui	l a p t e l u j
numărul	n u m ə r u l
boli	b o lʲ
clădiserăți	k l ə d i s e r ə t sʲ
șoptind	ʃ o p t i n d
văzut	v ə z u t
melanj	m e l a n ʒ
frumuseți	f r u m u s e t sʲ
casă	k a s ə
pederastie	p ɛ d ɛ r a s t i j ɛ
spovedită	s p o v e d i t ə
pornească	p o r n j a s k ə
cântăreților	k ɨ n t ə r e t͡s i l o r
perfectat	p e r f e k t a t
acești	a t͡ʃ e ʃ tʲ
pornograful	p o r n o ɡ r a f u l
îmbunătățitul	ɨ m b u n ə t ə t͡s i t u
spoveditul	s p o v e d i t u l
șantajelor	ʃ a n t a ʒ e l o r
rom	r o m
pașaport	p a ʃ a p o r t
șantajiste	ʃ a n t a ʒ i s t e
serenadă	s e r e n a d ə
cărți	k ə r t͡sʲ
mulțumirăți	m u l t s u m i r ə t sʲ
dorințele	d o r i n t͡s e l e
stimulaseși	s t i m u l a s e ʃʲ
băiețașul	b ə j e t͡s a ʃ u
regele	r e d͡ʒ e l e
delir	d e l i r
republica	r e p u b l i k a
răpește	r ə p e ʃ t e
viața	v j a t s a
discreție	d i s k r e t͡s i e
murim	m u r i m
întristăm	ɨ n t r i s t ə m
ejaculare	e ʒ a k u l a r e
memorie	m e m o r i e
amarilișii	a m a r i l i ʃ iː
fumaserăm	f u m a s e r ə m
îs	ɨ s
primea	p r i m j a
zăpușiților	z ə p u ʃ i t͡s i l o r
controlăm	k o n t r o l ə m
întâlnesc	ɨ n t ɨ l n e s k
sugem	s u d͡ʒ e m
velocitate	v e l o t͡ʃ i t a t e
primit	p r i m i t
lichidă	l i k i d ə
francezi	f r a n t͡ʃ e zʲ
plat	p l a t
cerb	t͡ʃ e r b
vulpe	v u l p e
dezavantaj	d e z a v a n t a ʒ
proastă	p r o̯ a s t ə
pavăză	p a v ə z ə
lipsiseși	l i p s i s e ʃʲ
răpitul	r ə p i t u
cânți	k ɨ n t͡sʲ
spoveditul	s p o v e d i t u
pipi	p i p i
șantajul	ʃ a n t a ʒ u l
întâlnit	ɨ n t ɨ l n i t
îmbunătățita	ɨ m b u n ə t ə t͡s i t a
nimeni	n i m ɛ nʲ
insula	i n s u l a
protejaseră	p r o t e ʒ a s e r ə
clădit	k l ə d i t
vede	v e d e
peștilor	p e ʃ t i l o r
legi	l e d͡ʒʲ
băiețaș	b ə j ɛ t s a ʃ
evlavioșii	e v l a v i o ʃ iː
răpiților	r ə p i t͡s i l o r
caos	k a o s
sălbatic	s ə l b a t i k
formatul	f o r m a t u
conduce	k o n d u t͡ʃ e
cenzurez	t͡ʃ e n z u r e z
limba	l i m b a
fusesem	f u s e s e m
futeți	f u t e t͡sʲ
anonim	a n o n i m
întărim	ɨ n t ə r i m
găsitele	ɡ ə s i t e l e
veștejiserăm	v e ʃ t e ʒ i s e r ə m
laba	l a b a
venisem	v e n i s e m
întristă	ɨ n t r i s t ə
accelerau	a k t͡ʃ e l e r a w
spovedească	s p o v e d j a s k ə
înțelege	ɨ n t s e l e d ʒ e
aceluiași	a t͡ʃ e l u j a ʃʲ
știți	ʃ t i t͡sʲ
întâlniserăți	ɨ n t ɨ l n i s e r ə t sʲ
citiră	t ʃ i t i r ə
abandonat	a b a n d o n a t
citească	t ʃ i t j a s k ə
sufix	s u f i k s
tatuaje	t a t w a ʒ e
obez	o b e z
porno	p o r n o
urâți	u r ɨ t͡sʲ
ejaculați	e ʒ a k u l a t͡sʲ
zăpușeau	z ə p u ʃ j a w
sprâncene	s p r ɨ n t ʃ e n e
tatuași	t a t u a ʃʲ
mărturiseați	m ə r t u r i s j a t sʲ
citeai	t ʃ i t j a j
îmi	ɨ mʲ
fuseseră	f u s e s e r ə
voastră	v o̯ a s t r ə
șantajam	ʃ a n t a ʒ a m
enigmatic	e n i ɡ m a t i k
protejezi	p r o t e ʒ e zʲ
faptele	f a p t e l e
îmbunătățind	ɨ m b u n ə t ə t s i n d
ejaculă	e ʒ a k u l ə
evlavioși	e v l a v i o ʃʲ
citesc	t ʃ i t e s k
beijing	b e j ʒ i ŋ ɡ
găseam	ɡ ə s j a m
folosită	f o l o s i t ə
folosii	f o l o s iː
asurzise	a s u r z i s e
foloseam	f o l o s j a m
excavat	e k s k a v a t
însușire	ɨ n s u ʃ i r ɛ
remușcare	r e m u ʃ k a r e
frecaserăți	f r e k a s e r ə t͡sʲ
pizde	p i z d e
controlam	k o n t r o l a m
halucina	h a l u t͡ʃ i n a
dușmăniți	d u ʃ m ə n i t͡sʲ
evlavioasei	e v l a v i o̯ a s e j
ejacula	e ʒ a k u l a
răpise	r ə p i s e
folosesc	f o l o s e s k
citit	t ʃ i t i t
sodomizaseși	s o d o m i z a s e ʃʲ
gravitaserăți	ɡ r a v i t a s e r ə t sʲ
atrocității	a t r o t ʃ i t ə t s iː
grădină	ɡ ɾ ə d i n ə
rea	r e̯ a
daneze	d a n e z e
cerui	t͡ʃ e r u j
crizantemă	k r i z a n t e m ə
băiețel	b ə j ɛ t s ɛ l
sfârșitele	s f ɨ r ʃ i t e l e
scrumiera	s k r u m i e r a
păianjeni	p ə j a n ʒ e nʲ
cenzurasem	t͡ʃ e n z u r a s e m
erogenă	e r o d͡ʒ e n ə
delimitarăți	d e l i m i t a r ə t sʲ
orientați	o r i e n t a t͡sʲ
mulțumea	m u l t s u m j a
reduce	r e̞ d̪ u t ʃ e̞
opiu	o p j u
apocalipticelor	a p o k a l i p t i t͡ʃ e l o r
lubrifiant	l u b r i f i a n t
îmbunătățiși	ɨ m b u n ə t ə t s i ʃʲ
scrotalei	s k r o t a l e j
beam	bʲ a m
plajă	p l a ʒ ə
milos	m i l o s
numirăți	n u m i r ə t sʲ
flexibilitate	f l e k s i b i l i t a t e
nume	n u m e
ubicuul	u b i k u u
citiți	t͡ʃ i t i t͡sʲ
întâlnitului	ɨ n t ɨ l n i t u l u j
ejaculasem	e ʒ a k u l a s e m
controla	k o n t r o l a
urinarăm	u r i n a r ə m
asia	a s i a
erogeni	e r o d ʒ e nʲ
numiră	n u m i r ə
șantajai	ʃ a n t a ʒ a j
avem	a v e m
în	ɨ n
beau	bʲ æ w
folosim	f o l o s i m
protejăm	p r o t e ʒ ə m
românești	r o m ɨ n e ʃ tʲ
găsitul	ɡ ə s i t u
creativitate	k r e a t i v i t a t e
formalitate	f o r m a l i t a t e
paradoxului	p a r a d o k s u l u j
veștejii	v e ʃ t e ʒ iː
acceleră	a k t͡ʃ e l e r ə
accelerai	a k t͡ʃ e l e r a j
ubicuei	u b i k u e j
evlaviosului	e v l a v i o s u l u j
sculă	s k u l ə
călătorie	k ə l ə t o r i e
limitat	l i m i t a t
călătoresc	k ə l ə t o r e s k
nevăzut	n e v ə z u t
peștelui	p e ʃ t e l u j
forme	f o r m e
funcționaseși	f u n k t͡s i o n a s e ʃʲ
frecau	f r e k a w
dușmănitul	d u ʃ m ə n i t u
funcționat	f u n k t͡s i o n a t
scriem	s k r i e m
opriți	o p r i t͡sʲ
stimuleze	s t i m u l e z e
copleșitoarele	k o p l e ʃ i t o̯ a r e l e
supseseși	s u p s e s e ʃʲ
mănânc	m ə n ɨ n k
cenzurase	t͡ʃ e n z u r a s e
răpitele	r ə p i t e l e
șoptiși	ʃ o p t i ʃʲ
lipsiserăm	l i p s i s e r ə m
cazan	k a z a n
năluciserăți	n ə l u t ʃ i s e r ə t sʲ
șantajatei	ʃ a n t a ʒ a t e j
necăjești	n e k ə ʒ e ʃ tʲ
pornografi	p o r n o ɡ r a fʲ
analizând	a n a l i z ɨ n d
narcotici	n a ɾ k o t i t͡ʃʲ
minuscule	m i n u s k u l e
pilotaseși	p i l o t a a s e ʃʲ
șantajate	ʃ a n t a ʒ a t e
băieței	b ə j e t͡s e j
rece	r e t͡ʃ e
umana	u m a n a
orgasme	o r ɡ a s m e
torturezi	t o r t u r e zʲ
călinescu	k ə l i n e s k u
plictisitului	p l i k t i s i t u l u j
cum	k u m
misterios	m i s t e r i o s
deliraseși	d e l i r a s e ʃʲ
veștejiții	v e ʃ t e ʒ i t͡s iː
sloveniei	s l o v e n i e j
citim	t ʃ i t i m
citii	t ʃ i t iː
gândeați	ɡ ɨ n d j a t sʲ
citea	t ʃ i t j a
tentez	t e n t e z
turnuri	t u r n u rʲ
spaniolește	s p a n i o l e ʃ t e
pregăteai	p r e ɡ ə t j a j
dorm	d o r m
tentantă	t e n t a n t ə
