あば	a̠ b a̠
ぽつん	p o̞ t͡s ɨ̃ᵝ ɴ
ぴたり	pʲ i t a̠ ɾʲ i
さばく	s a̠ b a̠ k ɯ̟ᵝ
さばき	s a̠ b a̠ kʲ i
さぼう	s a̠ b o̞ː
さだめ	s a̠ d a̠ m e̞
さだお	s a̠ d a̠ o̞
さえん	s a̠ ẽ̞ ɴ
さほど	s a̠ h o̞ d o̞
さいか	s a̠ i k a̠
さいこ	s a̠ i k o̞
さいき	s a̠ i kʲ i
さいた	s a̠ i t a̠
さよく	s a̠ j o̞ k ɯ̟ᵝ
さよう	s a̠ j o̞ː
さゆう	s a̠ j ɯ̟ᵝː
さかい	s a̠ k a̠ i
さかき	s a̠ k a̠ kʲ i
さかな	s a̠ k a̠ n a̠
さかん	s a̠ k ã̠ ɴ
さけび	s a̠ k e̞ bʲ i
さこつ	s a̠ k o̞ t͡s ɨᵝ
さこう	s a̠ k o̞ː
さくら	s a̠ k ɯ̟ᵝ ɾ a̠
さくじ	s a̠ k ɯ̟ᵝ ʑ i
さきん	s a̠ kʲ ĩ ɴ
さっき	s a̠ k̚ʲ kʲ i
さめる	s a̠ m e̞ ɾ ɯ̟ᵝ
さなえ	s a̠ n a̠ e̞
さなか	s a̠ n a̠ k a̠
さなぎ	s a̠ n a̠ ɡʲ i
ささえ	s a̠ s a̠ e̞
させん	s a̠ s ẽ̞ ɴ
さそり	s a̠ s o̞ ɾʲ i
さてつ	s a̠ t e̞ t͡s ɨᵝ
さとい	s a̠ t o̞ i
さとみ	s a̠ t o̞ mʲ i
さとつ	s a̠ t o̞ t͡s ɨᵝ
さとし	s a̠ t o̞ ɕ i
さとり	s a̠ t o̞ ɾʲ i
さった	s a̠ t̚ t a̠
さつき	s a̠ t͡s ɨ̥ᵝ kʲ i
さざえ	s a̠ z a̠ e̞
さがく	s a̠ ɡ a̠ k ɯ̟ᵝ
さがん	s a̠ ɡ ã̠ ɴ
されん	s a̠ ɾ ẽ̞ ɴ
さしみ	s a̠ ɕ i mʲ i
さろう	s a̠ ɾ o̞ː
さわぎ	s a̠ ɰᵝ a̠ ɡʲ i
さっし	s a̠ ɕː i
さんば	s ã̠ m b a̠
さんぽ	s ã̠ m p o̞
さんぷ	s ã̠ m p ɯ̟ᵝ
さんぴ	s ã̠ m pʲ i
さんま	s ã̠ mː a̠
さんか	s ã̠ ŋ k a̠
さんそ	s ã̠ ɰ̃ s o̞
さんわ	s ã̠ ɰ̃ ɰᵝ a̠
せぼね	s e̞ b o̞ n e̞
せびろ	s e̞ bʲ i ɾ o̞
せだい	s e̞ d a̠ i
せきり	s e̞ kʲ i ɾʲ i
せっき	s e̞ k̚ʲ kʲ i
せめて	s e̞ m e̞ t e̞
せなか	s e̞ n a̠ k a̠
せたけ	s e̞ t a̠ k e̞
せっつ	s e̞ t̚ t͡s ɨᵝ
せつび	s e̞ t͡s ɨᵝ bʲ i
せつな	s e̞ t͡s ɨᵝ n a̠
せつじ	s e̞ t͡s ɨᵝ ʑ i
せつわ	s e̞ t͡s ɨᵝ ɰᵝ a̠
せちな	s e̞ t͡ɕ i n a̠
せぞく	s e̞ z o̞ k ɯ̟ᵝ
せっし	s e̞ ɕː i
せいぼ	s e̞ː b o̞
せいぶ	s e̞ː b ɯ̟ᵝ
せいど	s e̞ː d o̞
せいや	s e̞ː j a̠
せいか	s e̞ː k a̠
せいき	s e̞ː kʲ i
せんば	s ẽ̞ m b a̠
せいむ	s e̞ː m ɯ̟ᵝ
せいみ	s e̞ː mʲ i
せんど	s ẽ̞ n d o̞
せえの	s e̞ː n o̞
せんと	s ẽ̞ n t o̞
しみず	s e̞ː s ɨᵝ i
せいと	s e̞ː t o̞
おんじ	s e̞ː t͡ɕ i
せいし	s e̞ː ɕ i
せいじ	s e̞ː ʑ i
せんか	s ẽ̞ ŋ k a̠
せいぐ	s e̞ː ɡ ɯ̟ᵝ
せんじ	s ẽ̞ ɲ̟ d͡ʑ i
せいぎ	s e̞ː ɡʲ i
せいり	s e̞ː ɾʲ i
せんち	s ẽ̞ ɲ̟ t͡ɕ i
せんし	s ẽ̞ ɰ̃ ɕ i
せいう	s e̞ː ɯ̟ᵝ
そぼく	s o̞ b o̞ k ɯ̟ᵝ
そぶり	s o̞ b ɯ̟ᵝ ɾʲ i
そいね	s o̞ i n e̞
そけい	s o̞ k e̞ː
そこく	s o̞ k o̞ k ɯ̟ᵝ
そくど	s o̞ k ɯ̟ᵝ d o̞
そくい	s o̞ k ɯ̟ᵝ i
そくず	s o̞ k ɯ̟ᵝ z ɨᵝ
そくじ	s o̞ k ɯ̟ᵝ ʑ i
そまつ	s o̞ m a̠ t͡s ɨᵝ
そめん	s o̞ m ẽ̞ ɴ
そみつ	s o̞ mʲ i t͡s ɨᵝ
そなえ	s o̞ n a̠ e̞
そっぱ	s o̞ p̚ p a̠
そせい	s o̞ s e̞ː
そせん	s o̞ s ẽ̞ ɴ
そそう	s o̞ s o̞ː
そすう	s o̞ s ɨᵝː
そとば	s o̞ t o̞ b a̠
そぜい	s o̞ z e̞ː
そふぼ	s o̞ ɸ ɯ̟ᵝ b o̞
そにん	s o̞ ɲ̟ ĩ ɴ
そうぶ	s o̞ː b ɯ̟ᵝ
そうき	s o̞ː kʲ i
そうみ	s o̞ː mʲ i
そうさ	s o̞ː s a̠
そうず	s o̞ː z ɨᵝ
そうし	s o̞ː ɕ i
そうじ	s o̞ː ʑ i
そうご	s o̞ː ɡ o̞
そんご	s õ̞ ŋ ɡ o̞
そうわ	s o̞ː ɰᵝ a̠
そうぎ	s o̞ː ɡʲ i
すあし	s ɨᵝ a̠ ɕ i
すばこ	s ɨᵝ b a̠ k o̞
すべて	s ɨᵝ b e̞ t e̞
すべる	s ɨᵝ b e̞ ɾ ɯ̟ᵝ
すぶた	s ɨᵝ b ɯ̟ᵝ t a̠
すぶり	s ɨᵝ b ɯ̟ᵝ ɾʲ i
すだま	s ɨᵝ d a̠ m a̠
すえの	s ɨᵝ e̞ n o̞
すいば	s ɨᵝ i b a̠
すいぼ	s ɨᵝ i b o̞
すいか	s ɨᵝ i k a̠
すいそ	s ɨᵝ i s o̞
すいじ	s ɨᵝ i ʑ i
すいり	s ɨᵝ i ɾʲ i
すけて	s ɨᵝ k e̞ t e̞
すくい	s ɨᵝ k ɯ̟ᵝ i
すまた	s ɨᵝ m a̠ t a̠
すまう	s ɨᵝ m a̠ ɯ̟ᵝ
すなお	s ɨᵝ n a̠ o̞
すねる	s ɨᵝ n e̞ ɾ ɯ̟ᵝ
すさい	s ɨᵝ s a̠ i
すさむ	s ɨᵝ s a̠ m ɯ̟ᵝ
すその	s ɨᵝ s o̞ n o̞
すすめ	s ɨᵝ s ɨᵝ m e̞
すすむ	s ɨᵝ s ɨᵝ m ɯ̟ᵝ
すたま	s ɨᵝ t a̠ m a̠
すざく	s ɨᵝ z a̠ k ɯ̟ᵝ
すずめ	s ɨᵝ z ɨᵝ m e̞
すずり	s ɨᵝ z ɨᵝ ɾʲ i
すがお	s ɨᵝ ɡ a̠ o̞
すしや	s ɨᵝ ɕ i j a̠
すごく	s ɨᵝ ɡ o̞ k ɯ̟ᵝ
すぐは	s ɨᵝ ɡ ɯ̟ᵝ h a̠
すぐに	s ɨᵝ ɡ ɯ̟ᵝ ɲ̟ i
すわる	s ɨᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ
すうひ	s ɨᵝː ç i
すこし	s ɨ̥ᵝ k o̞ ɕ i
すきま	s ɨ̥ᵝ kʲ i m a̠
すうち	s ɨᵝː t͡ɕ i
すうし	s ɨᵝː ɕ i
すうじ	s ɨᵝː ʑ i
すんか	s ɨ̃ᵝ ŋ k a̠
たばこ	t a̠ b a̠ k o̞
たどん	t a̠ d õ̞ ɴ
たえま	t a̠ e̞ m a̠
たいぶ	t a̠ i b ɯ̟ᵝ
たいひ	t a̠ i ç i
たいだ	t a̠ i d a̠
たいど	t a̠ i d o̞
たいか	t a̠ i k a̠
たいき	t a̠ i kʲ i
たいま	t ä i m ä
たいさ	t a̠ i s a̠
たいじ	t a̠ i ʑ i
たいわ	t a̠ i ɰᵝ a̠
たやす	t a̠ j a̠ s ɨᵝ
たより	t a̠ j o̞ ɾʲ i
たよう	t a̠ j o̞ː
たかい	t a̠ k a̠ i
たかや	t a̠ k a̠ j a̠
たかね	t a̠ k a̠ n e̞
たかお	t a̠ k a̠ o̞
たかさ	t a̠ k a̠ s a̠
たかす	t a̠ k a̠ s ɨᵝ
たかと	t a̠ k a̠ t o̞
たけだ	t a̠ k e̞ d a̠
たけち	t a̠ k e̞ t͡ɕ i
たけし	t a̠ k e̞ ɕ i
たこう	t a̠ k o̞ː
たくし	t a̠ k ɯ̟ᵝ ɕ i
たまや	t a̠ m a̠ j a̠
たまな	t a̠ m a̠ n a̠
たまご	t a̠ m a̠ ɡ o̞
ためし	t a̠ m e̞ ɕ i
ためん	t a̠ m ẽ̞ ɴ
たもと	t a̠ m o̞ t o̞
たむけ	t a̠ m ɯ̟ᵝ k e̞
たなか	t a̠ n a̠ k a̠
たねだ	t a̠ n e̞ d a̠
たのみ	t a̠ n o̞ mʲ i
たさい	t a̠ s a̠ i
たそん	t a̠ s õ̞ ɴ
たたみ	t a̠ t a̠ mʲ i
たたる	t a̠ t a̠ ɾ ɯ̟ᵝ
たたり	t a̠ t a̠ ɾʲ i
たとう	t a̠ t o̞ː
たつや	t a̠ t͡s ɨᵝ j a̠
たつこ	t a̠ t͡s ɨᵝ k o̞
たざわ	t a̠ z a̠ ɰᵝ a̠
たらい	t a̠ ɾ a̠ i
たがく	t a̠ ɡ a̠ k ɯ̟ᵝ
たがる	t a̠ ɡ a̠ ɾ ɯ̟ᵝ
たげり	t a̠ ɡ e̞ ɾʲ i
たしか	t a̠ ɕ i k a̠
たごう	t a̠ ɡ o̞ː
たるき	t a̠ ɾ ɯ̟ᵝ kʲ i
たぐる	t a̠ ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
たりつ	t a̠ ɾʲ i t͡s ɨᵝ
たんぽ	t ã̠ m p o̞
たんら	t ã̠ n ɾ a̠
たんご	t ã̠ ŋ ɡ o̞
たんい	t ã̠ ɰ̃ i
たんそ	t ã̠ ɰ̃ s o̞
たんし	t ã̠ ɰ̃ ɕ i
てあて	t e̞ a̠ t e̞
てあし	t e̞ a̠ ɕ i
てぶら	t e̞ b ɯ̟ᵝ ɾ a̠
てぶれ	t e̞ b ɯ̟ᵝ ɾ e̞
てだて	t e̞ d a̠ t e̞
てどり	t e̞ d o̞ ɾʲ i
ていれ	t e̞ i ɾ e̞
てかき	t e̞ k a̠ kʲ i
てかぎ	t e̞ k a̠ ɡʲ i
てきや	t e̞ kʲ i j a̠
てきき	t e̞ kʲ i kʲ i
てっき	t e̞ kʲ i kʲ i
てまえ	t e̞ m a̠ e̞
てまめ	t e̞ m a̠ m e̞
ておけ	t e̞ o̞ k e̞
ておち	t e̞ o̞ t͡ɕ i
てさき	t e̞ s a̠ kʲ i
てさつ	t e̞ s a̠ t͡s ɨᵝ
てせい	t e̞ s e̞ː
てすり	t e̞ s ɨᵝ ɾʲ i
てつや	t e̞ t͡s ɨᵝ j a̠
てつこ	t e̞ t͡s ɨᵝ k o̞
てつじ	t e̞ t͡s ɨᵝ ʑ i
てつろ	t e̞ t͡s ɨᵝ ɾ o̞
てつり	t e̞ t͡s ɨᵝ ɾʲ i
てがる	t e̞ ɡ a̠ ɾ ɯ̟ᵝ
てごま	t e̞ ɡ o̞ m a̠
てごめ	t e̞ ɡ o̞ m e̞
てるこ	t e̞ ɾ ɯ̟ᵝ k o̞
てるお	t e̞ ɾ ɯ̟ᵝ o̞
てるし	t e̞ ɾ ɯ̟ᵝ ɕ i
ていか	t e̞ː k a̠
ていこ	t e̞ː k o̞
てんぽ	t ẽ̞ m p o̞
てんぷ	t ẽ̞ m p ɯ̟ᵝ
ていし	t e̞ː ɕ i
てんか	t ẽ̞ ŋ k a̠
てんが	t ẽ̞ ŋ ɡ a̠
てんげ	t ẽ̞ ŋ ɡ e̞
てんじ	t ẽ̞ ɲ̟ d͡ʑ i
てんき	t ẽ̞ ŋʲ kʲ i
てんそ	t ẽ̞ ɰ̃ s o̞
てんち	t ẽ̞ ɲ̟ t͡ɕ i
てんし	t ẽ̞ ɰ̃ ɕ i
とぼし	t o̞ b o̞ ɕ i
とぼる	t o̞ b o̞ ɾ ɯ̟ᵝ
とびお	t o̞ bʲ i o̞
とびら	t o̞ bʲ i ɾ a̠
とひと	t o̞ ç i t o̞
といき	t o̞ i kʲ i
といし	t o̞ i ɕ i
とやま	t o̞ j a̠ m a̠
とよた	t o̞ j o̞ t a̠
とよじ	t o̞ j o̞ ʑ i
とかい	t o̞ k a̠ i
とかげ	t o̞ k a̠ ɡ e̞
とけい	t o̞ k e̞ː
とけん	t o̞ k ẽ̞ ɴ
とこや	t o̞ k o̞ j a̠
とこう	t o̞ k o̞ː
とくい	t o̞ k ɯ̟ᵝ i
とくむ	t o̞ k ɯ̟ᵝ m ɯ̟ᵝ
とくぎ	t o̞ k ɯ̟ᵝ ɡʲ i
ときわ	t o̞ kʲ i ɰᵝ a̠
ときん	t o̞ kʲ ĩ ɴ
とっか	t o̞ k̚ k a̠
とっき	t o̞ k̚ʲ kʲ i
とまつ	t o̞ m a̠ t͡s ɨᵝ
ともや	t o̞ m o̞ j a̠
ともき	t o̞ m o̞ kʲ i
ともみ	t o̞ m o̞ mʲ i
ともざ	t o̞ m o̞ z a̠
ともる	t o̞ m o̞ ɾ ɯ̟ᵝ
とみん	t o̞ mʲ ĩ ɴ
とせん	t o̞ s ẽ̞ ɴ
とそう	t o̞ s o̞ː
とたん	t o̞ t ã̠ ɴ
とても	t o̞ t e̞ m o̞
とてい	t o̞ t e̞ː
とって	t o̞ t̚ t e̞
とつぐ	t o̞ t͡s ɨᵝ ɡ ɯ̟ᵝ
とざす	t o̞ z a̠ s ɨᵝ
とざん	t o̞ z ã̠ ɴ
とぜん	t o̞ z ẽ̞ ɴ
とらい	t o̞ ɾ a̠ i
としは	t o̞ ɕ i h a̠
としか	t o̞ ɕ i̥ k a̠
としん	t o̞ ɕ ĩ ɴ
としょ	t o̞ ɕ o̞
としゅ	t o̞ ɕ ɨᵝ
とぐら	t o̞ ɡ ɯ̟ᵝ ɾ a̠
とりで	t o̞ ɾʲ i d e̞
とりこ	t o̞ ɾʲ i k o̞
とりて	t o̞ ɾʲ i t e̞
とにち	t o̞ ɲ̟ i t͡ɕ i
とうば	t o̞ː b a̠
とうぶ	t o̞ː b ɯ̟ᵝ
とうは	t o̞ː h a̠
とうよ	t o̞ː j o̞
とうゆ	t o̞ː j ɯ̟ᵝ
とうか	t o̞ː k a̠
とおく	t o̞ː k ɯ̟ᵝ
とうき	t o̞ː kʲ i
とんぼ	t õ̞ m b o̞
とんま	t õ̞ mː a̠
とうち	t o̞ː t͡ɕ i
とうご	t o̞ː ɡ o̞
とうふ	t o̞ː ɸ ɯ̟ᵝ
とんじ	t õ̞ ɲ̟ d͡ʑ i
とうぎ	t o̞ː ɡʲ i
とんし	t õ̞ ɰ̃ ɕ i
ってば	t̚ t e̞ b a̠
つばき	t͡s ɨᵝ b a̠ kʲ i
つばさ	t͡s ɨᵝ b a̠ s a̠
つぶて	t͡s ɨᵝ b ɯ̟ᵝ t e̞
つぶり	t͡s ɨᵝ b ɯ̟ᵝ ɾʲ i
つだみ	t͡s ɨᵝ d a̠ mʲ i
ついえ	t͡s ɨᵝ i e̞
ついか	t͡s ɨᵝ i k a̠
ついし	t͡s ɨᵝ i ɕ i
つよび	t͡s ɨᵝ j o̞ bʲ i
つくえ	t͡s ɨᵝ k ɯ̟ᵝ e̞
つくる	t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ
つくり	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i
つきみ	t͡s ɨᵝ kʲ i mʲ i
つきじ	t͡s ɨᵝ kʲ i ʑ i
つむじ	t͡s ɨᵝ m ɯ̟ᵝ ʑ i
つむる	t͡s ɨᵝ m ɯ̟ᵝ ɾ ɯ̟ᵝ
つむぎ	t͡s ɨᵝ m ɯ̟ᵝ ɡʲ i
つむり	t͡s ɨᵝ m ɯ̟ᵝ ɾʲ i
つなみ	t͡s ɨᵝ n a̠ mʲ i
つなぐ	t͡s ɨᵝ n a̠ ɡ ɯ̟ᵝ
つねじ	t͡s ɨᵝ n e̞ ʑ i
つとむ	t͡s ɨᵝ t o̞ m ɯ̟ᵝ
つちけ	t͡s ɨᵝ t͡ɕ i k e̞
つづみ	t͡s ɨᵝ z ɨᵝ mʲ i
つづら	t͡s ɨᵝ z ɨᵝ ɾ a̠
つづり	t͡s ɨᵝ z ɨᵝ ɾʲ i
つがる	t͡s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ
つるざ	t͡s ɨᵝ ɾ ɯ̟ᵝ z a̠
まやか	t͡s ɨᵝ ɾ ɯ̟ᵝ ɡʲ i
つわる	t͡s ɨᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ
つぎめ	t͡s ɨᵝ ɡʲ i m e̞
つりめ	t͡s ɨᵝ ɾʲ i m e̞
つうか	t͡s ɨᵝː k a̠
つかれ	t͡s ɨ̥ᵝ k a̠ ɾ e̞
つくね	t͡s ɨ̥ᵝ k ɯ̟ᵝ n e̞
つきひ	t͡s ɨ̥ᵝ kʲ i ç i
つうち	t͡s ɨᵝː t͡ɕ i
つうろ	t͡s ɨᵝː ɾ o̞
ちゃば	t͡ɕ a̠ b a̠
ちゃき	t͡ɕ a̠ kʲ i
ちゃら	t͡ɕ a̠ ɾ a̠
ちゃん	t͡ɕ ã̠ ɴ
ちびる	t͡ɕ i bʲ i ɾ ɯ̟ᵝ
ちどん	t͡ɕ i d õ̞ ɴ
ちはや	t͡ɕ i h a̠ j a̠
ちほう	t͡ɕ i h o̞ː
ちかい	t͡ɕ i k a̠ i
ちかん	t͡ɕ i k ã̠ ɴ
ちけい	t͡ɕ i k e̞ː
ちけん	t͡ɕ i k ẽ̞ ɴ
ちこう	t͡ɕ i k o̞ː
ちくる	t͡ɕ i k ɯ̟ᵝ ɾ ɯ̟ᵝ
ちくわ	t͡ɕ i k ɯ̟ᵝ ɰᵝ a̠
ちまき	t͡ɕ i m a̠ kʲ i
ちめい	t͡ɕ i m e̞ː
ちのり	t͡ɕ i n o̞ ɾʲ i
ちのう	t͡ɕ i n o̞ː
ちおも	t͡ɕ i o̞ m o̞
ちせつ	t͡ɕ i s e̞ t͡s ɨᵝ
ちっそ	t͡ɕ i sː o̞
ちたい	t͡ɕ i t a̠ i
ちてき	t͡ɕ i t e̞ kʲ i
ちがい	t͡ɕ i ɡ a̠ i
ちしき	t͡ɕ i ɕ i kʲ i
ちしつ	t͡ɕ i ɕ i t͡s ɨᵝ
ちじょ	t͡ɕ i ʑ o̞
ちしゅ	t͡ɕ i ɕ ɨᵝ
ちにく	t͡ɕ i ɲ̟ i k ɯ̟ᵝ
ちから	t͡ɕ i̥ k a̠ ɾ a̠
ちくば	t͡ɕ i̥ k ɯ̟ᵝ b a̠
ちいき	t͡ɕ iː kʲ i
ちしゃ	t͡ɕ i̥ s a̠
ちせい	t͡ɕ i̥ s e̞ː
ちそう	t͡ɕ i̥ s o̞ː
ちんか	t͡ɕ ĩ ŋ k a̠
ちんご	t͡ɕ ĩ ŋ ɡ o̞
ちょこ	t͡ɕ o̞ k o̞
ちょく	t͡ɕ o̞ k ɯ̟ᵝ
あそみ	t͡ɕ o̞ː ɕ ĩ ɴ
ちゅう	t͡ɕ ɨᵝː
しゃば	ɕ a̠ b a̠
しゃぶ	ɕ a̠ b ɯ̟ᵝ
らぶか	ɾ a̠ b ɯ̟ᵝ k a̠
らでん	ɾ a̠ d ẽ̞ ɴ
がはく	ɡ a̠ h a̠ k ɯ̟ᵝ
しゃい	ɕ a̠ i
がいや	ɡ a̠ i j a̠
がいか	ɡ a̠ i k a̠
がいご	ɡ a̠ i ɡ o̞
がいろ	ɡ a̠ i ɾ o̞
らいう	ɾ a̠ i ɯ̟ᵝ
しゃか	ɕ a̠ k a̠
がかい	ɡ a̠ k a̠ i
がかざ	ɡ a̠ k a̠ z a̠
しゃく	ɕ a̠ k ɯ̟ᵝ
がくひ	ɡ a̠ k ɯ̟ᵝ ç i
らくだ	ɾ a̠ k ɯ̟ᵝ d a̠
がくい	ɡ a̠ k ɯ̟ᵝ i
らくご	ɾ a̠ k ɯ̟ᵝ ɡ o̞
がっか	ɡ a̠ k̚ k a̠
がっこ	ɡ a̠ k̚ k o̞
らっこ	ɾ a̠ k̚ k o̞
がっき	ɡ a̠ k̚ʲ kʲ i
しゃむ	ɕ a̠ m ɯ̟ᵝ
らぬき	ɾ a̠ n ɯ̟ᵝ kʲ i
がさん	ɡ a̠ s ã̠ ɴ
らせつ	ɾ a̠ s e̞ t͡s ɨᵝ
らせん	ɾ a̠ s ẽ̞ ɴ
らたい	ɾ a̠ t a̠ i
がたり	ɡ a̠ t a̠ ɾʲ i
らてい	ɾ a̠ t e̞ː
がてん	ɡ a̠ t ẽ̞ ɴ
しゃち	ɕ a̠ t͡ɕ i
しゃが	ɕ a̠ ɡ a̠
がらん	ɡ a̠ ɾ ã̠ ɴ
がれき	ɡ a̠ ɾ e̞ kʲ i
しゃし	ɕ a̠ ɕ i
がごう	ɡ a̠ ɡ o̞ː
がろう	ɡ a̠ ɾ o̞ː
らふく	ɾ a̠ ɸ ɯ̟ᵝ k ɯ̟ᵝ
がっご	ɡ a̠ ɡ̚ ɡ̊ o̞
がうん	ɡ a̠ ɯ̟̃ᵝ ɴ
がんも	ɡ ã̠ mː o̞
がんか	ɡ ã̠ ŋ k a̠
らんご	ɾ ã̠ ŋ ɡ o̞
がんぐ	ɡ ã̠ ŋ ɡ ɯ̟ᵝ
らんし	ɾ ã̠ ɰ̃ ɕ i
げどく	ɡ e̞ d o̞ k ɯ̟ᵝ
げどう	ɡ e̞ d o̞ː
げほう	ɡ e̞ h o̞ː
げきど	ɡ e̞ kʲ i d o̞
げきむ	ɡ e̞ kʲ i m ɯ̟ᵝ
げきは	ɡ e̞ kʲ i̥ ɰᵝ a̠
げねつ	ɡ e̞ n e̞ t͡s ɨᵝ
れつご	ɾ e̞ t͡s ɨᵝ ɡ o̞
げざん	ɡ e̞ z ã̠ ɴ
げにん	ɡ e̞ ɲ̟ ĩ ɴ
げいゆ	ɡ e̞ː j ɯ̟ᵝ
げいか	ɡ e̞ː k a̠
げいこ	ɡ e̞ː k o̞
れいき	ɾ e̞ː kʲ i
げんば	ɡ ẽ̞ m b a̠
げんぶ	ɡ ẽ̞ m b ɯ̟ᵝ
れいむ	ɾ e̞ː m ɯ̟ᵝ
れんだ	ɾ ẽ̞ n d a̠
れいし	ɾ e̞ː ɕ i
れんか	ɾ ẽ̞ ŋ k a̠
げいご	ɡ e̞ː ɡ o̞
げんが	ɡ ẽ̞ ŋ ɡ a̠
れんが	ɾ ẽ̞ ŋ ɡ a̠
げんご	ɡ ẽ̞ ŋ ɡ o̞
れいわ	ɾ e̞ː ɰᵝ a̠
げんじ	ɡ ẽ̞ ɲ̟ d͡ʑ i
げいぎ	ɡ e̞ː ɡʲ i
れんい	ɾ ẽ̞ ɰ̃ i
げんや	ɡ ẽ̞ ɰ̃ j a̠
げんき	ɡ ẽ̞ ŋʲ kʲ i
れんさ	ɾ ẽ̞ ɰ̃ s a̠
げんそ	ɡ ẽ̞ ɰ̃ s o̞
れんち	ɾ ẽ̞ ɲ̟ t͡ɕ i
げんし	ɡ ẽ̞ ɰ̃ ɕ i
しあつ	ɕ i a̠ t͡s ɨᵝ
しばし	ɕ i b a̠ ɕ i
しばん	ɕ i b ã̠ ɴ
しぼう	ɕ i b o̞ː
しぶき	ɕ i b ɯ̟ᵝ kʲ i
しぶん	ɕ i b ɯ̟̃ᵝ ɴ
しびと	ɕ i bʲ i t o̞
しだん	ɕ i d ã̠ ɴ
しえい	ɕ i e̞ː
しえん	ɕ i ẽ̞ ɴ
しへい	ɕ i h e̞ː
しへん	ɕ i h ẽ̞ ɴ
しよう	ɕ i j o̞ː
しかい	ɕ i k a̠ i
しけん	ɕ i k ẽ̞ ɴ
しこく	ɕ i k o̞ k ɯ̟ᵝ
しこめ	ɕ i k o̞ m e̞
しこむ	ɕ i k o̞ m ɯ̟ᵝ
しこつ	ɕ i k o̞ t͡s ɨᵝ
しころ	ɕ i k o̞ ɾ o̞
しくら	ɕ i k ɯ̟ᵝ ɾ a̠
しきい	ɕ i kʲ i i
しきし	ɕ i kʲ i ɕ i
しきふ	ɕ i kʲ i ɸ ɯ̟ᵝ
しきり	ɕ i kʲ i ɾʲ i
しっけ	ɕ i k̚ k e̞
しきょ	ɕ i kʲ o̞
しっき	ɕ i k̚ʲ kʲ i
しまい	ɕ i m a̠ i
しまつ	ɕ i m a̠ t͡s ɨᵝ
しめい	ɕ i m e̞ː
しもだ	ɕ i m o̞ d a̠
しみん	ɕ i mʲ ĩ ɴ
しない	ɕ i n a̠ i
しなす	ɕ i n a̠ s ɨᵝ
しなご	ɕ i n a̠ ɡ o̞
しのぶ	ɕ i n o̞ b ɯ̟ᵝ
しのび	ɕ i n o̞ bʲ i
しおき	ɕ i o̞ kʲ i
しおた	ɕ i o̞ t a̠
しおだ	ɕ i o̞ t a̠
しおに	ɕ i o̞ ɲ̟ i
しおう	ɕ i o̞ː
しおん	ɕ i õ̞ ɴ
しっぽ	ɕ i p̚ p o̞
しせつ	ɕ i s e̞ t͡s ɨᵝ
しせん	ɕ i s ẽ̞ ɴ
しそつ	ɕ i s o̞ t͡s ɨᵝ
したい	ɕ i t a̠ i
したり	ɕ i t a̠ ɾʲ i
してき	ɕ i t e̞ kʲ i
してつ	ɕ i t e̞ t͡s ɨᵝ
しとる	ɕ i t o̞ ɾ ɯ̟ᵝ
しとう	ɕ i t o̞ː
しつう	ɕ i t͡s ɨᵝː
しざい	ɕ i z a̠ i
しざま	ɕ i z a̠ m a̠
しぜん	ɕ i z ẽ̞ ɴ
しずか	ɕ i z ɨᵝ k a̠
ししゃ	ɕ i ɕ a̠
しらゆ	ɕ i ɾ a̠ j ɯ̟ᵝ
しがく	ɕ i ɡ a̠ k ɯ̟ᵝ
しらき	ɕ i ɾ a̠ kʲ i
しらみ	ɕ i ɾ a̠ mʲ i
しらせ	ɕ i ɾ a̠ s e̞
しがつ	ɕ i ɡ a̠ t͡s ɨᵝ
しらが	ɕ i ɾ a̠ ɡ a̠
しらげ	ɕ i ɾ a̠ ɡ e̞
しがん	ɕ i ɡ ã̠ ɴ
しげき	ɕ i ɡ e̞ kʲ i
しげみ	ɕ i ɡ e̞ mʲ i
しれつ	ɕ i ɾ e̞ t͡s ɨᵝ
しれる	ɕ i ɾ e̞ ɾ ɯ̟ᵝ
ししょ	ɕ i ɕ o̞
しろき	ɕ i ɾ o̞ kʲ i
しろみ	ɕ i ɾ o̞ mʲ i
しろた	ɕ i ɾ o̞ t a̠
しごと	ɕ i ɡ o̞ t o̞
ししゅ	ɕ i ɕ ɨᵝ
しふく	ɕ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
しぐれ	ɕ i ɡ ɯ̟ᵝ ɾ e̞
しわす	ɕ i ɰᵝ a̠ s ɨᵝ
しりお	ɕ i ɾʲ i o̞
しにん	ɕ i ɲ̟ ĩ ɴ
しいか	ɕ iː k a̠
しんぱ	ɕ ĩ m p a̠
しんぷ	ɕ ĩ m p ɯ̟ᵝ
しんぴ	ɕ ĩ m pʲ i
しんみ	ɕ ĩ mʲː i
しんら	ɕ ĩ n ɾ a̠
しんろ	ɕ ĩ n ɾ o̞
しんり	ɕ ĩ n ɾʲ i
したで	ɕ i̥ t a̠ d e̞
しいれ	ɕ iː ɾ e̞
